,playerName,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos
541,Khalid Reeves,21,2,6,0,2,1,2,0,1,1,3,0,0,1,2,7,G
542,Chris Porter,21,3,8,0,0,1,2,1,1,3,1,0,0,1,2,8,F
543,Matt Geiger,21,3,8,0,0,1,2,2,3,5,0,0,0,1,2,9,C
544,Robert Horry,21,2,4,0,1,1,1,1,3,4,1,0,0,0,2,5,F
545,Jerome Williams,21,2,4,0,0,1,2,2,3,6,0,1,0,0,2,6,F
546,Bobby Jackson,21,3,8,0,2,1,1,0,2,3,2,0,0,1,1,9,G
547,Seth Curry,21,3,7,1,3,0,1,0,1,1,1,0,0,0,1,9,G
548,Frank Kaminsky,21,3,8,1,3,1,2,0,3,4,1,0,0,0,1,9,F-C
549,Robin Lopez,21,3,6,0,0,1,1,2,2,5,0,0,1,1,1,8,C
550,Sebastian Telfair,21,2,7,0,2,1,1,0,1,1,3,0,0,1,2,7,G
551,Eddie Griffin,21,2,7,0,2,0,1,1,4,5,0,0,1,0,1,7,F-C
552,Tyronn Lue,21,3,7,0,2,1,1,0,1,1,3,0,0,1,1,8,G
553,Kyle Singler,21,2,5,0,2,0,1,0,1,2,0,0,0,0,2,6,F
554,Blue Edwards,21,3,7,0,1,1,2,0,1,2,2,0,0,1,2,8,G-F
555,Kwame Brown,21,2,5,0,0,1,2,1,3,5,0,0,0,1,2,6,F
556,Channing Frye,21,3,7,1,3,0,1,0,3,4,0,0,0,0,2,8,C-F
557,Jamario Moon,21,2,5,0,1,0,0,0,3,4,0,0,0,0,1,6,F
558,Earl Watson,21,2,5,0,1,0,1,0,1,2,4,0,0,1,1,6,G
559,Vladimir Radmanović,21,2,6,1,3,0,1,0,2,3,1,0,0,1,2,7,F
560,Solomon Hill,21,1,4,0,2,1,1,0,2,3,1,0,0,0,1,5,F
561,Spencer Hawes,21,3,7,0,1,0,1,1,4,5,1,0,0,1,2,8,C-F
562,Jodie Meeks,21,2,7,1,3,1,1,0,1,1,1,0,0,0,1,8,G
563,Alonzo Gee,21,2,5,0,1,1,1,0,2,3,1,0,0,1,1,6,G
564,Andray Blatche,21,4,8,0,0,1,2,1,3,5,1,0,0,1,2,9,F
565,Rondae Hollis-Jefferson,21,3,7,0,0,2,3,1,4,5,1,0,0,1,2,9,F
566,Carlos Delfino,21,2,7,1,3,0,1,0,2,3,1,0,0,0,1,7,G
567,Bryn Forbes,21,3,7,1,4,0,0,0,1,1,1,0,0,0,1,8,G
568,Carl Landry,21,4,7,0,0,2,3,1,2,4,0,0,0,1,2,10,F
569,Brandon Bass,21,3,6,0,0,1,2,1,3,4,0,0,0,0,1,8,F
570,Gorgui Dieng,21,2,6,0,0,1,2,1,4,6,1,0,0,1,2,7,C
571,Luther Head,21,2,6,1,3,0,1,0,2,2,2,0,0,1,1,7,G
572,Troy Hudson,21,3,8,0,2,1,1,0,1,1,3,0,0,1,1,9,G
573,Junior Harrington,21,2,5,0,0,0,1,0,2,2,3,0,0,1,2,5,G
574,Andris Biedriņš,21,2,4,0,0,0,1,2,4,6,0,0,1,0,3,6,C
575,Nemanja Bjelica,21,2,6,1,3,0,0,1,3,4,1,0,0,0,2,7,F
576,Terry Porter,21,2,6,1,2,1,1,0,2,2,3,0,0,1,1,7,G
577,Keith Bogans,21,2,5,1,3,0,1,0,2,2,1,0,0,0,1,6,G-F
578,Kenrich Williams,21,1,5,0,2,0,0,1,3,4,1,0,0,0,2,4,G-F
579,DeShawn Stevenson,21,2,6,0,2,1,1,0,1,2,1,0,0,0,1,7,G
580,Tony Snell,21,2,5,1,3,0,0,0,1,2,1,0,0,0,1,6,G-F
581,Jordan Poole,21,2,8,1,4,1,2,0,1,2,2,0,0,1,1,8,G
582,Nate Robinson,21,3,9,1,3,1,2,0,1,2,2,0,0,1,2,10,G
583,Yi Jianlian,21,2,7,0,0,1,2,1,3,4,0,0,0,1,2,7,F
584,Keon Clark,21,3,6,0,0,1,2,1,3,5,0,0,1,1,2,7,F-C
585,Jared Dudley,21,2,5,0,2,1,1,0,2,3,1,0,0,0,1,7,F-G
586,J.J. Hickson,21,3,7,0,0,1,2,2,4,6,0,0,0,1,1,9,F-C
587,Armen Gilliam,21,3,6,0,0,2,3,1,3,5,0,0,0,1,2,8,F-C
588,Tony Allen,21,3,6,0,0,1,2,1,2,3,1,1,0,1,2,7,G-F
589,Tomáš Satoranský,21,2,5,0,1,1,1,0,2,2,3,0,0,1,1,7,G
590,Nerlens Noel,21,3,5,0,0,1,2,1,4,6,1,1,1,1,2,7,C-F
