playerName,seasonStartYear,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,inflationAdjSalary
Joe Johnson,2008,39.0,7.7,17.6,1.8,5.0,3.6,4.5,0.9,3.5,4.4,5.5,1.1,0.2,2.5,2.2,20.8,17672.15
Metta World Peace,2005,39.0,6.2,15.5,1.4,4.6,3.6,5.4,1.4,3.7,5.1,3.6,2.1,0.7,2.2,2.9,17.6,9557.699
Elton Brand,2002,39.0,7.3,14.5,0.0,0.0,3.9,5.7,4.6,6.8,11.3,2.5,1.1,2.5,2.6,3.3,18.5,7393.719
Andre Iguodala,2007,39.0,6.9,15.3,1.2,3.6,4.5,6.2,1.0,4.4,5.4,4.8,2.1,0.6,2.7,2.2,19.4,3657.642
Kevin Durant,2009,38.9,9.5,20.4,1.6,4.4,9.2,10.2,1.3,6.3,7.6,2.8,1.3,1.0,3.3,2.1,29.8,6042.352
Shawn Marion,2004,38.9,7.5,15.8,1.4,4.0,2.7,3.3,2.9,8.4,11.4,1.8,1.9,1.5,1.5,2.6,19.1,17659.523
Elton Brand,2000,38.9,7.8,16.4,0.0,0.0,4.5,6.4,3.9,6.2,10.1,3.2,1.0,1.6,3.0,3.3,20.1,5719.421
Antawn Jamison,2002,38.9,8.4,17.9,0.8,2.5,4.6,5.8,2.4,4.7,7.0,1.9,0.9,0.5,2.2,2.4,22.2,15204.932
Kevin Durant,2013,38.9,10.4,21.1,2.4,6.2,8.4,9.7,0.8,6.8,7.7,5.2,1.2,0.8,3.6,2.2,31.6,21843.723
Kobe Bryant,2007,38.9,9.7,20.9,1.8,5.1,7.6,9.1,1.1,5.1,6.2,5.4,1.8,0.5,3.2,2.8,28.7,25416.241
Dirk Nowitzki,2004,38.9,8.4,18.7,1.1,2.8,7.8,9.0,1.3,8.4,9.8,3.1,1.3,1.5,2.3,2.9,25.7,18024.298
Grant Hill,1996,38.9,7.9,16.0,0.1,0.4,5.6,7.9,1.6,7.3,8.9,7.2,1.7,0.6,3.3,2.4,21.5,8712.65
Ray Allen,2004,38.9,8.3,19.2,2.7,7.2,4.9,5.5,1.0,3.4,4.4,3.7,1.1,0.1,2.3,2.1,24.2,20946.515
Latrell Sprewell,2000,38.9,6.8,15.9,0.5,1.8,3.6,4.6,0.6,3.8,4.4,3.5,1.4,0.4,2.9,2.1,17.8,15956.624
Rashard Lewis,2002,38.9,6.7,14.9,1.0,2.8,3.7,4.5,2.0,4.6,6.5,1.7,1.3,0.5,1.9,2.7,18.1,9414.615
Kevin Garnett,2006,38.9,8.4,17.6,0.2,0.7,5.5,6.6,2.4,10.4,12.8,4.1,1.2,1.7,2.7,2.4,22.4,28120.335
